index_name,date,tri
Nifty 50 TRI,2011-06-30,5647.39990234375
Nifty 50 TRI,2011-07-01,5627.399191809356
Nifty 50 TRI,2011-07-04,5651.299324220373
Nifty 50 TRI,2011-07-05,5633.096016960214
Nifty 50 TRI,2011-07-06,5626.643908508558
Nifty 50 TRI,2011-07-07,5730.368508778882
Nifty 50 TRI,2011-07-08,5662.251535687148
Nifty 50 TRI,2011-07-11,5618.285127544234
Nifty 50 TRI,2011-07-12,5528.49543478356
Nifty 50 TRI,2011-07-13,5588.018501226216
Nifty 50 TRI,2011-07-15,5584.061324282158
Nifty 50 TRI,2011-07-18,5570.594518892794
Nifty 50 TRI,2011-07-19,5617.322767066378
Nifty 50 TRI,2011-07-20,5570.988515323283
Nifty 50 TRI,2011-07-21,5545.71691056175
Nifty 50 TRI,2011-07-22,5638.334997618452
Nifty 50 TRI,2011-07-25,5685.323793226997
Nifty 50 TRI,2011-07-26,5579.97813991304
Nifty 50 TRI,2011-07-27,5552.098378503868
Nifty 50 TRI,2011-07-28,5493.18641701675
Nifty 50 TRI,2011-07-29,5487.624774586662
Nifty 50 TRI,2011-08-01,5523.046183769384
Nifty 50 TRI,2011-08-02,5462.921146110291
Nifty 50 TRI,2011-08-03,5411.302075067894
Nifty 50 TRI,2011-08-04,5338.403029060723
Nifty 50 TRI,2011-08-05,5217.888443529193
Nifty 50 TRI,2011-08-08,5125.564024759808
Nifty 50 TRI,2011-08-09,5080.0307615531265
Nifty 50 TRI,2011-08-10,5168.488209311898
Nifty 50 TRI,2011-08-11,5145.937048780554
Nifty 50 TRI,2011-08-12,5080.669970894864
Nifty 50 TRI,2011-08-16,5044.176498853703
Nifty 50 TRI,2011-08-17,5065.19050726048
Nifty 50 TRI,2011-08-18,4952.724414431599
Nifty 50 TRI,2011-08-19,4854.22524387735
Nifty 50 TRI,2011-08-22,4907.9898572115435
Nifty 50 TRI,2011-08-23,4958.359279529262
Nifty 50 TRI,2011-08-24,4898.417813128799
Nifty 50 TRI,2011-08-25,4849.193507091338
Nifty 50 TRI,2011-08-26,4757.379471661331
Nifty 50 TRI,2011-08-29,4930.049399008858
Nifty 50 TRI,2011-08-30,5011.799423529106
Nifty 50 TRI,2011-09-02,5051.419509224187
Nifty 50 TRI,2011-09-05,5029.101544785231
Nifty 50 TRI,2011-09-06,5076.492394893481
Nifty 50 TRI,2011-09-07,5137.169449804243
Nifty 50 TRI,2011-09-08,5166.02209890069
Nifty 50 TRI,2011-09-09,5072.16917801902
Nifty 50 TRI,2011-09-12,4959.761738642919
Nifty 50 TRI,2011-09-13,4954.071987983884
Nifty 50 TRI,2011-09-14,5026.039477224629
Nifty 50 TRI,2011-09-15,5089.53979357612
Nifty 50 TRI,2011-09-16,5098.293196700477
Nifty 50 TRI,2011-09-19,5046.384267712079
Nifty 50 TRI,2011-09-20,5155.127077162512
Nifty 50 TRI,2011-09-21,5148.338754760788
Nifty 50 TRI,2011-09-22,4938.297183744601
Nifty 50 TRI,2011-09-23,4882.403637653162
Nifty 50 TRI,2011-09-26,4850.470704728316
Nifty 50 TRI,2011-09-27,4986.9205629810485
Nifty 50 TRI,2011-09-28,4961.666010576559
Nifty 50 TRI,2011-09-29,5031.615938268122
Nifty 50 TRI,2011-09-30,4959.358401284031
Nifty 50 TRI,2011-10-03,4865.819079419654
Nifty 50 TRI,2011-10-04,4788.378017489074
Nifty 50 TRI,2011-10-05,4767.625610364667
Nifty 50 TRI,2011-10-07,4905.192402539958
