index_name,date,tri
Nifty Bank TRI,2011-06-30,11244.650390625
Nifty Bank TRI,2011-07-01,11255.1843361207
Nifty Bank TRI,2011-07-04,11380.545343447437
Nifty Bank TRI,2011-07-05,11407.03369423835
Nifty Bank TRI,2011-07-06,11284.158623235913
Nifty Bank TRI,2011-07-07,11427.409642656254
Nifty Bank TRI,2011-07-08,11286.629114816082
Nifty Bank TRI,2011-07-11,11137.506332539286
Nifty Bank TRI,2011-07-12,11024.716348030335
Nifty Bank TRI,2011-07-13,11144.62259643378
Nifty Bank TRI,2011-07-14,11266.382803090628
Nifty Bank TRI,2011-07-15,11237.310138901756
Nifty Bank TRI,2011-07-18,11232.160411122506
Nifty Bank TRI,2011-07-19,11317.370827790535
Nifty Bank TRI,2011-07-20,11168.357907924625
Nifty Bank TRI,2011-07-21,11053.600908928078
Nifty Bank TRI,2011-07-22,11296.019603614159
Nifty Bank TRI,2011-07-25,11396.465137760333
Nifty Bank TRI,2011-07-26,11119.283704723726
Nifty Bank TRI,2011-07-27,11005.015804644723
Nifty Bank TRI,2011-07-28,10833.466921591868
Nifty Bank TRI,2011-07-29,10898.825695750731
Nifty Bank TRI,2011-08-01,10944.734595632668
Nifty Bank TRI,2011-08-02,10749.107855283673
Nifty Bank TRI,2011-08-03,10645.476116272075
Nifty Bank TRI,2011-08-04,10543.09169652775
Nifty Bank TRI,2011-08-05,10360.606903525997
Nifty Bank TRI,2011-08-08,10238.837699965665
Nifty Bank TRI,2011-08-09,10203.231964982528
Nifty Bank TRI,2011-08-10,10470.22858125967
Nifty Bank TRI,2011-08-11,10345.914072064323
Nifty Bank TRI,2011-08-12,10189.873937034867
Nifty Bank TRI,2011-08-16,10064.144455196169
Nifty Bank TRI,2011-08-17,9961.027929778995
Nifty Bank TRI,2011-08-18,9609.208516945511
Nifty Bank TRI,2011-08-19,9412.55440426236
Nifty Bank TRI,2011-08-22,9415.519063656964
Nifty Bank TRI,2011-08-23,9497.095837759309
Nifty Bank TRI,2011-08-24,9340.25944345367
Nifty Bank TRI,2011-08-25,9185.670951255022
Nifty Bank TRI,2011-08-26,8982.931881735138
Nifty Bank TRI,2011-08-29,9351.635357589672
Nifty Bank TRI,2011-08-30,9542.929581300476
Nifty Bank TRI,2011-09-02,9591.397980832488
Nifty Bank TRI,2011-09-05,9624.60535454895
Nifty Bank TRI,2011-09-06,9668.361321171116
Nifty Bank TRI,2011-09-07,9870.048067579857
Nifty Bank TRI,2011-09-08,9931.429280450655
Nifty Bank TRI,2011-09-09,9689.961515478586
Nifty Bank TRI,2011-09-12,9406.643696629633
Nifty Bank TRI,2011-09-13,9351.179678789358
Nifty Bank TRI,2011-09-14,9484.248174569231
Nifty Bank TRI,2011-09-15,9672.540033949235
Nifty Bank TRI,2011-09-16,9732.675413703324
Nifty Bank TRI,2011-09-19,9596.271966485485
Nifty Bank TRI,2011-09-20,9825.887481500886
Nifty Bank TRI,2011-09-21,9942.50641870892
Nifty Bank TRI,2011-09-22,9533.706622987953
Nifty Bank TRI,2011-09-23,9388.761493900281
Nifty Bank TRI,2011-09-26,9398.035309882667
Nifty Bank TRI,2011-09-27,9633.98288042308
Nifty Bank TRI,2011-09-28,9526.181846161824
Nifty Bank TRI,2011-09-29,9667.798543359726
Nifty Bank TRI,2011-09-30,9482.577182428431
