index_name,date,tri
Nifty Commodities TRI,2011-09-07,2527.699951171875
Nifty Commodities TRI,2011-09-08,2523.713350697052
Nifty Commodities TRI,2011-09-09,2523.836619524157
Nifty Commodities TRI,2011-09-12,2456.59986570134
Nifty Commodities TRI,2011-09-13,2408.1956283169366
Nifty Commodities TRI,2011-09-14,2415.115628940946
Nifty Commodities TRI,2011-09-15,2462.9021183045097
Nifty Commodities TRI,2011-09-16,2482.681203192148
Nifty Commodities TRI,2011-09-19,2458.470557025981
Nifty Commodities TRI,2011-09-20,2497.00491546265
Nifty Commodities TRI,2011-09-21,2496.346316871643
Nifty Commodities TRI,2011-09-22,2406.872846191638
Nifty Commodities TRI,2011-09-23,2381.2601028728673
Nifty Commodities TRI,2011-09-26,2338.3389350672633
Nifty Commodities TRI,2011-09-27,2391.3649190358924
Nifty Commodities TRI,2011-09-28,2369.6092025258504
Nifty Commodities TRI,2011-09-29,2387.3539847308994
Nifty Commodities TRI,2011-09-30,2351.23997352918
Nifty Commodities TRI,2011-10-03,2302.2418731628486
Nifty Commodities TRI,2011-10-04,2274.8879508716464
Nifty Commodities TRI,2011-10-05,2267.939613383442
Nifty Commodities TRI,2011-10-07,2328.980203098998
Nifty Commodities TRI,2011-10-10,2377.8395723144704
Nifty Commodities TRI,2011-10-11,2386.5400282296014
Nifty Commodities TRI,2011-10-12,2426.554578496565
Nifty Commodities TRI,2011-10-13,2401.739405477497
Nifty Commodities TRI,2011-10-14,2409.450505750552
Nifty Commodities TRI,2011-10-17,2396.7581043497967
Nifty Commodities TRI,2011-10-18,2372.7267641363114
Nifty Commodities TRI,2011-10-19,2410.4096345570074
Nifty Commodities TRI,2011-10-20,2390.906124744056
Nifty Commodities TRI,2011-10-21,2367.8031369569276
Nifty Commodities TRI,2011-10-24,2394.9214618043993
Nifty Commodities TRI,2011-10-25,2444.4040402810174
Nifty Commodities TRI,2011-10-28,2555.808533870587
Nifty Commodities TRI,2011-10-31,2509.0790067986345
Nifty Commodities TRI,2011-11-01,2484.856218771762
Nifty Commodities TRI,2011-11-02,2492.5081689891967
Nifty Commodities TRI,2011-11-03,2502.306964059953
Nifty Commodities TRI,2011-11-04,2519.015904179956
Nifty Commodities TRI,2011-11-08,2525.6969770281544
Nifty Commodities TRI,2011-11-09,2471.0519757602915
Nifty Commodities TRI,2011-11-11,2447.2471834738417
Nifty Commodities TRI,2011-11-14,2408.1649654942785
Nifty Commodities TRI,2011-11-15,2367.1240932910646
Nifty Commodities TRI,2011-11-16,2355.0481995317627
Nifty Commodities TRI,2011-11-17,2301.9791146451844
Nifty Commodities TRI,2011-11-18,2290.862190704126
Nifty Commodities TRI,2011-11-21,2225.567778329872
Nifty Commodities TRI,2011-11-22,2246.3732872278915
Nifty Commodities TRI,2011-11-23,2202.5681598250767
Nifty Commodities TRI,2011-11-24,2221.718122081102
