index_name,date,tri
Nifty Energy TRI,2011-06-30,8615.0498046875
Nifty Energy TRI,2011-07-01,8475.554760802264
Nifty Energy TRI,2011-07-04,8525.281493367414
Nifty Energy TRI,2011-07-05,8400.952454450033
Nifty Energy TRI,2011-07-06,8406.204694059577
Nifty Energy TRI,2011-07-07,8561.06971835984
Nifty Energy TRI,2011-07-08,8478.339938551573
Nifty Energy TRI,2011-07-11,8469.499090791087
Nifty Energy TRI,2011-07-12,8423.170439704865
Nifty Energy TRI,2011-07-13,8559.426824929957
Nifty Energy TRI,2011-07-14,8532.713915456809
Nifty Energy TRI,2011-07-15,8526.817171537281
Nifty Energy TRI,2011-07-18,8503.864953202812
Nifty Energy TRI,2011-07-19,8591.970733532216
Nifty Energy TRI,2011-07-20,8531.710087537105
Nifty Energy TRI,2011-07-21,8447.1120032017
Nifty Energy TRI,2011-07-22,8554.956095243853
Nifty Energy TRI,2011-07-25,8613.570301865664
Nifty Energy TRI,2011-07-26,8510.723327440674
Nifty Energy TRI,2011-07-27,8439.665182700983
Nifty Energy TRI,2011-07-28,8291.270427801765
Nifty Energy TRI,2011-07-29,8206.317119972467
Nifty Energy TRI,2011-08-01,8261.33526084466
Nifty Energy TRI,2011-08-02,8308.820177159769
Nifty Energy TRI,2011-08-03,8254.804527312179
Nifty Energy TRI,2011-08-04,8167.9650253974305
Nifty Energy TRI,2011-08-05,8002.946688071917
Nifty Energy TRI,2011-08-08,7935.618062446657
Nifty Energy TRI,2011-08-09,7817.909173831036
Nifty Energy TRI,2011-08-10,7850.2026292286555
Nifty Energy TRI,2011-08-11,7827.36210356864
Nifty Energy TRI,2011-08-12,7770.833028786296
Nifty Energy TRI,2011-08-16,7709.107009456581
Nifty Energy TRI,2011-08-17,7696.880198909063
Nifty Energy TRI,2011-08-18,7597.748665794322
Nifty Energy TRI,2011-08-19,7538.122741640895
Nifty Energy TRI,2011-08-22,7713.117293988705
Nifty Energy TRI,2011-08-23,7693.763208932506
Nifty Energy TRI,2011-08-24,7645.060784119666
Nifty Energy TRI,2011-08-25,7608.794361649448
Nifty Energy TRI,2011-08-26,7363.965934833926
Nifty Energy TRI,2011-08-29,7596.808655784324
Nifty Energy TRI,2011-08-30,7689.445316493387
Nifty Energy TRI,2011-09-02,7800.638186070195
Nifty Energy TRI,2011-09-05,7658.410121880507
Nifty Energy TRI,2011-09-06,7824.385750906879
Nifty Energy TRI,2011-09-07,7939.22104817861
Nifty Energy TRI,2011-09-08,8016.815342419447
Nifty Energy TRI,2011-09-09,7844.312807874269
Nifty Energy TRI,2011-09-12,7709.4652391456075
Nifty Energy TRI,2011-09-13,7731.7219597350295
Nifty Energy TRI,2011-09-14,7824.298987930396
Nifty Energy TRI,2011-09-15,7915.43015686544
Nifty Energy TRI,2011-09-16,7948.653229438423
Nifty Energy TRI,2011-09-19,7903.851561399345
Nifty Energy TRI,2011-09-20,8065.508434688005
Nifty Energy TRI,2011-09-21,7985.943743127604
Nifty Energy TRI,2011-09-22,7647.377384017326
Nifty Energy TRI,2011-09-23,7577.477627697159
Nifty Energy TRI,2011-09-26,7458.452640814265
Nifty Energy TRI,2011-09-27,7712.839626836972
Nifty Energy TRI,2011-09-28,7740.142920293861
Nifty Energy TRI,2011-09-29,7825.61354745038
Nifty Energy TRI,2011-09-30,7778.268652510696
Nifty Energy TRI,2011-10-03,7685.578253154025
Nifty Energy TRI,2011-10-04,7567.0072126694895
Nifty Energy TRI,2011-10-05,7545.079106039859
Nifty Energy TRI,2011-10-07,7752.844717487053
Nifty Energy TRI,2011-10-10,7978.338380791759
Nifty Energy TRI,2011-10-11,7959.2438195707855
Nifty Energy TRI,2011-10-12,8086.702639270751
Nifty Energy TRI,2011-10-13,8015.084917269651
Nifty Energy TRI,2011-10-14,8128.573740739817
Nifty Energy TRI,2011-10-17,7946.136710489009
Nifty Energy TRI,2011-10-18,7864.020355580842
Nifty Energy TRI,2011-10-19,8039.593306623334
Nifty Energy TRI,2011-10-20,7974.435591195436
Nifty Energy TRI,2011-10-21,7938.013239385282
Nifty Energy TRI,2011-10-24,8071.139125481369
Nifty Energy TRI,2011-10-25,8264.761494783525
Nifty Energy TRI,2011-10-28,8452.516110500981
Nifty Energy TRI,2011-10-31,8291.440498349546
Nifty Energy TRI,2011-11-01,8207.764676078184
Nifty Energy TRI,2011-11-02,8266.737941297
Nifty Energy TRI,2011-11-03,8373.222411555567
Nifty Energy TRI,2011-11-04,8334.274534121014
Nifty Energy TRI,2011-11-08,8362.71666707687
Nifty Energy TRI,2011-11-09,8191.771802256717
Nifty Energy TRI,2011-11-11,8263.51038969395
Nifty Energy TRI,2011-11-14,8192.70018928439
Nifty Energy TRI,2011-11-15,8050.1169096236445
Nifty Energy TRI,2011-11-16,7963.679514235303
Nifty Energy TRI,2011-11-17,7704.951136767405
Nifty Energy TRI,2011-11-18,7699.611701533318
