index_name,date,tri
Nifty Financial Services TRI,2011-09-07,4010.679931640625
Nifty Financial Services TRI,2011-09-08,4018.4477715541334
Nifty Financial Services TRI,2011-09-09,4018.535437598864
Nifty Financial Services TRI,2011-09-12,3942.950086358799
Nifty Financial Services TRI,2011-09-13,3837.1421184247542
Nifty Financial Services TRI,2011-09-14,3815.4026725537587
Nifty Financial Services TRI,2011-09-15,3856.6530051687137
Nifty Financial Services TRI,2011-09-16,3965.898709014543
Nifty Financial Services TRI,2011-09-19,3915.134908278611
Nifty Financial Services TRI,2011-09-20,4013.3580119955454
Nifty Financial Services TRI,2011-09-21,4044.455036444847
Nifty Financial Services TRI,2011-09-22,3868.3257026491383
Nifty Financial Services TRI,2011-09-23,3795.1245079702885
Nifty Financial Services TRI,2011-09-26,3787.459459861063
Nifty Financial Services TRI,2011-09-27,3884.9947535478564
Nifty Financial Services TRI,2011-09-28,3842.499947143776
Nifty Financial Services TRI,2011-09-29,3907.2248988595798
Nifty Financial Services TRI,2011-09-30,3835.383921100418
Nifty Financial Services TRI,2011-10-03,3739.1002234779885
Nifty Financial Services TRI,2011-10-04,3639.0727973569565
Nifty Financial Services TRI,2011-10-05,3577.25452578777
Nifty Financial Services TRI,2011-10-07,3711.90851765457
Nifty Financial Services TRI,2011-10-10,3781.4513309875615
Nifty Financial Services TRI,2011-10-11,3793.2424593665187
Nifty Financial Services TRI,2011-10-12,3895.783541309846
Nifty Financial Services TRI,2011-10-13,3912.4714092537115
Nifty Financial Services TRI,2011-10-14,3938.8179424934997
Nifty Financial Services TRI,2011-10-17,3964.117596852229
Nifty Financial Services TRI,2011-10-18,3918.58345689333
Nifty Financial Services TRI,2011-10-19,4006.1589831256415
Nifty Financial Services TRI,2011-10-20,3936.290895894375
Nifty Financial Services TRI,2011-10-21,3905.116797436976
Nifty Financial Services TRI,2011-10-24,3906.2130892098376
Nifty Financial Services TRI,2011-10-25,3912.494733362801
Nifty Financial Services TRI,2011-10-28,4069.755466861649
Nifty Financial Services TRI,2011-10-31,4081.3351974221832
Nifty Financial Services TRI,2011-11-01,4019.5700341618244
Nifty Financial Services TRI,2011-11-02,4004.56923432485
Nifty Financial Services TRI,2011-11-03,4004.6365531559613
Nifty Financial Services TRI,2011-11-04,4024.4390333664232
Nifty Financial Services TRI,2011-11-08,4025.55127028494
Nifty Financial Services TRI,2011-11-09,3947.7420651488846
Nifty Financial Services TRI,2011-11-11,3827.173153952426
Nifty Financial Services TRI,2011-11-14,3821.8152276994338
Nifty Financial Services TRI,2011-11-15,3743.2304708148154
Nifty Financial Services TRI,2011-11-16,3724.0427387519103
Nifty Financial Services TRI,2011-11-17,3666.1340838897245
Nifty Financial Services TRI,2011-11-18,3653.3638173784016
Nifty Financial Services TRI,2011-11-21,3532.8757724922416
Nifty Financial Services TRI,2011-11-22,3572.388047398091
Nifty Financial Services TRI,2011-11-23,3482.655332331498
Nifty Financial Services TRI,2011-11-24,3502.5949151635004
