index_name,date,tri
Nifty IT TRI,2011-06-30,6624.7001953125
Nifty IT TRI,2011-07-01,6675.076023002368
Nifty IT TRI,2011-07-04,6687.15645407653
Nifty IT TRI,2011-07-05,6710.038395426929
Nifty IT TRI,2011-07-06,6706.065077098491
Nifty IT TRI,2011-07-07,6789.671097805955
Nifty IT TRI,2011-07-08,6726.477916931009
Nifty IT TRI,2011-07-11,6615.603237484055
Nifty IT TRI,2011-07-12,6419.211498101173
Nifty IT TRI,2011-07-13,6412.620266038523
Nifty IT TRI,2011-07-14,6330.227047637881
Nifty IT TRI,2011-07-15,6350.700913171495
Nifty IT TRI,2011-07-18,6302.288376969112
Nifty IT TRI,2011-07-19,6371.860651493634
Nifty IT TRI,2011-07-20,6333.884496922958
Nifty IT TRI,2011-07-21,6342.401992429398
Nifty IT TRI,2011-07-22,6445.422187662473
Nifty IT TRI,2011-07-25,6442.311945956408
Nifty IT TRI,2011-07-26,6435.0168604070905
Nifty IT TRI,2011-07-27,6416.906990388458
Nifty IT TRI,2011-07-28,6316.03183485644
Nifty IT TRI,2011-07-29,6344.0797955466105
Nifty IT TRI,2011-08-01,6392.0829733304445
Nifty IT TRI,2011-08-02,6285.072441707835
Nifty IT TRI,2011-08-03,6227.683599726381
Nifty IT TRI,2011-08-04,6167.734969200743
Nifty IT TRI,2011-08-05,5921.953517675604
Nifty IT TRI,2011-08-08,5662.526156429621
Nifty IT TRI,2011-08-09,5463.062785231531
Nifty IT TRI,2011-08-10,5599.903140873195
Nifty IT TRI,2011-08-11,5567.008594674816
Nifty IT TRI,2011-08-12,5427.637435586713
Nifty IT TRI,2011-08-16,5482.220577476869
Nifty IT TRI,2011-08-17,5584.277005746533
Nifty IT TRI,2011-08-18,5361.165679969797
Nifty IT TRI,2011-08-19,5126.354157528543
Nifty IT TRI,2011-08-22,5100.83726551615
Nifty IT TRI,2011-08-23,5303.068638285071
Nifty IT TRI,2011-08-24,5236.147434020504
Nifty IT TRI,2011-08-25,5110.659822685432
Nifty IT TRI,2011-08-26,5102.887145456504
Nifty IT TRI,2011-08-29,5354.769717815999
Nifty IT TRI,2011-08-30,5467.515810246872
Nifty IT TRI,2011-09-02,5401.00684146026
Nifty IT TRI,2011-09-05,5317.021326333813
Nifty IT TRI,2011-09-06,5384.052727808163
Nifty IT TRI,2011-09-07,5393.0952464293405
Nifty IT TRI,2011-09-08,5474.786497708026
Nifty IT TRI,2011-09-09,5357.747911385351
Nifty IT TRI,2011-09-12,5176.526282267468
Nifty IT TRI,2011-09-13,5223.8511481136275
Nifty IT TRI,2011-09-14,5445.275875887408
Nifty IT TRI,2011-09-15,5571.062837868136
Nifty IT TRI,2011-09-16,5515.020719105717
Nifty IT TRI,2011-09-19,5464.978204601394
Nifty IT TRI,2011-09-20,5635.877369878589
Nifty IT TRI,2011-09-21,5629.726749921876
Nifty IT TRI,2011-09-22,5407.440080348855
Nifty IT TRI,2011-09-23,5390.081385649685
Nifty IT TRI,2011-09-26,5410.856867228589
Nifty IT TRI,2011-09-27,5604.008114892796
Nifty IT TRI,2011-09-28,5648.676269345348
Nifty IT TRI,2011-09-29,5771.746750457115
Nifty IT TRI,2011-09-30,5704.475795136751
Nifty IT TRI,2011-10-03,5614.089625309176
Nifty IT TRI,2011-10-04,5563.124144159546
Nifty IT TRI,2011-10-05,5559.075155530782
Nifty IT TRI,2011-10-07,5668.292840208409
Nifty IT TRI,2011-10-10,5825.400103261837
Nifty IT TRI,2011-10-11,5666.385244347635
Nifty IT TRI,2011-10-12,5964.4707553147755
Nifty IT TRI,2011-10-13,6009.289665911998
Nifty IT TRI,2011-10-14,6151.415703268537
Nifty IT TRI,2011-10-17,6129.043652171961
Nifty IT TRI,2011-10-18,5912.682080533205
Nifty IT TRI,2011-10-19,5992.299706808476
Nifty IT TRI,2011-10-20,6007.775323934866
Nifty IT TRI,2011-10-21,5981.37202390874
Nifty IT TRI,2011-10-24,6090.912263136789
Nifty IT TRI,2011-10-25,6252.931116542621
Nifty IT TRI,2011-10-28,6310.830822877993
Nifty IT TRI,2011-10-31,6316.5342334356565
Nifty IT TRI,2011-11-01,6251.8502219654665
Nifty IT TRI,2011-11-02,6258.192333085508
Nifty IT TRI,2011-11-03,6207.88720299373
Nifty IT TRI,2011-11-04,6238.7799747617255
Nifty IT TRI,2011-11-08,6256.353285560897
Nifty IT TRI,2011-11-09,6273.365849755824
Nifty IT TRI,2011-11-11,6209.357430111723
Nifty IT TRI,2011-11-14,6251.995345958003
Nifty IT TRI,2011-11-15,6216.86295345922
Nifty IT TRI,2011-11-16,6152.730625374127
