index_name,date,tri
Nifty India Consumption TRI,2011-07-12,1850.8900146484375
Nifty India Consumption TRI,2011-07-13,1870.3061281348264
Nifty India Consumption TRI,2011-07-14,1868.9322251238577
Nifty India Consumption TRI,2011-07-15,1868.998316777389
Nifty India Consumption TRI,2011-07-18,1861.5749936914222
Nifty India Consumption TRI,2011-07-19,1858.0898974567847
Nifty India Consumption TRI,2011-07-20,1854.9046861293814
Nifty India Consumption TRI,2011-07-21,1854.020028167009
Nifty India Consumption TRI,2011-07-22,1854.0855924757063
Nifty India Consumption TRI,2011-07-25,1915.520405861376
Nifty India Consumption TRI,2011-07-26,1885.973511523976
Nifty India Consumption TRI,2011-07-27,1893.9243916790504
Nifty India Consumption TRI,2011-07-28,1892.040190226644
Nifty India Consumption TRI,2011-07-29,1897.5704654647375
Nifty India Consumption TRI,2011-08-01,1897.7717857745304
Nifty India Consumption TRI,2011-08-02,1906.5252771871121
Nifty India Consumption TRI,2011-08-03,1888.1183702621422
Nifty India Consumption TRI,2011-08-04,1878.3171322471276
Nifty India Consumption TRI,2011-08-05,1857.0954766219443
Nifty India Consumption TRI,2011-08-08,1820.9277204013363
Nifty India Consumption TRI,2011-08-09,1810.7620193809112
Nifty India Consumption TRI,2011-08-10,1810.826053942681
Nifty India Consumption TRI,2011-08-11,1820.9708479405165
Nifty India Consumption TRI,2011-08-12,1821.0352435203856
Nifty India Consumption TRI,2011-08-16,1807.5057754541822
Nifty India Consumption TRI,2011-08-17,1811.895144193849
Nifty India Consumption TRI,2011-08-18,1794.9970983589478
Nifty India Consumption TRI,2011-08-19,1781.7727118828363
Nifty India Consumption TRI,2011-08-22,1781.9617467781754
Nifty India Consumption TRI,2011-08-23,1809.8960836091444
Nifty India Consumption TRI,2011-08-24,1821.1471295382296
Nifty India Consumption TRI,2011-08-25,1799.097193056067
Nifty India Consumption TRI,2011-08-26,1800.1122791637313
Nifty India Consumption TRI,2011-08-29,1779.147384932182
Nifty India Consumption TRI,2011-08-30,1811.1255408006361
Nifty India Consumption TRI,2011-09-02,1828.4290824489417
Nifty India Consumption TRI,2011-09-05,1857.859929928145
Nifty India Consumption TRI,2011-09-06,1855.2402637190205
Nifty India Consumption TRI,2011-09-07,1865.3561381324287
Nifty India Consumption TRI,2011-09-08,1863.5482688423049
Nifty India Consumption TRI,2011-09-09,1863.6141701012527
Nifty India Consumption TRI,2011-09-12,1854.5215216337247
Nifty India Consumption TRI,2011-09-13,1837.2184960416216
Nifty India Consumption TRI,2011-09-14,1830.9090705408744
Nifty India Consumption TRI,2011-09-15,1847.0907771258096
Nifty India Consumption TRI,2011-09-16,1837.2831047259504
Nifty India Consumption TRI,2011-09-19,1830.1100973092762
Nifty India Consumption TRI,2011-09-20,1851.7481720174344
Nifty India Consumption TRI,2011-09-21,1846.9915053563611
Nifty India Consumption TRI,2011-09-22,1789.4001977254934
Nifty India Consumption TRI,2011-09-23,1785.0321303210558
Nifty India Consumption TRI,2011-09-26,1766.5012226306867
Nifty India Consumption TRI,2011-09-27,1802.6718880190049
Nifty India Consumption TRI,2011-09-28,1791.5146649584601
Nifty India Consumption TRI,2011-09-29,1808.3248115520216
Nifty India Consumption TRI,2011-09-30,1792.1027614543373
Nifty India Consumption TRI,2011-10-03,1779.24464071271
Nifty India Consumption TRI,2011-10-04,1754.574165824063
Nifty India Consumption TRI,2011-10-05,1752.5198762478738
Nifty India Consumption TRI,2011-10-07,1767.4292367419937
Nifty India Consumption TRI,2011-10-10,1786.8177774020724
Nifty India Consumption TRI,2011-10-11,1794.6860710161443
Nifty India Consumption TRI,2011-10-12,1809.1362320600165
Nifty India Consumption TRI,2011-10-13,1794.8329683922052
Nifty India Consumption TRI,2011-10-14,1813.2975931462538
Nifty India Consumption TRI,2011-10-17,1817.4133194803228
Nifty India Consumption TRI,2011-10-18,1799.314778583989
Nifty India Consumption TRI,2011-10-19,1824.9979725250355
Nifty India Consumption TRI,2011-10-20,1815.4486171835883
Nifty India Consumption TRI,2011-10-21,1803.419653355339
Nifty India Consumption TRI,2011-10-24,1823.624517329244
Nifty India Consumption TRI,2011-10-25,1858.909506728053
Nifty India Consumption TRI,2011-10-28,1891.9217539588844
Nifty India Consumption TRI,2011-10-31,1905.8362337058609
Nifty India Consumption TRI,2011-11-01,1894.4282168058467
Nifty India Consumption TRI,2011-11-02,1894.4952100823618
Nifty India Consumption TRI,2011-11-03,1901.8515421892782
Nifty India Consumption TRI,2011-11-04,1912.8231602357
Nifty India Consumption TRI,2011-11-08,1911.5371642929988
Nifty India Consumption TRI,2011-11-09,1900.979814855647
Nifty India Consumption TRI,2011-11-11,1906.647977232741
Nifty India Consumption TRI,2011-11-14,1898.7948340300993
Nifty India Consumption TRI,2011-11-15,1854.5750033176862
Nifty India Consumption TRI,2011-11-16,1855.2834827105344
Nifty India Consumption TRI,2011-11-17,1833.2895053358861
Nifty India Consumption TRI,2011-11-18,1828.4821858575494
Nifty India Consumption TRI,2011-11-21,1800.7158871859626
Nifty India Consumption TRI,2011-11-22,1788.5522717463618
Nifty India Consumption TRI,2011-11-23,1758.4730255058562
Nifty India Consumption TRI,2011-11-24,1784.7600847817823
Nifty India Consumption TRI,2011-11-25,1771.207827431525
Nifty India Consumption TRI,2011-11-28,1796.2878156435263
Nifty India Consumption TRI,2011-11-29,1795.3564347409788
Nifty India Consumption TRI,2011-11-30,1808.525145405352
Nifty India Consumption TRI,2011-12-01,1810.910665912456
Nifty India Consumption TRI,2011-12-02,1846.9562491095749
Nifty India Consumption TRI,2011-12-05,1839.693747214092
Nifty India Consumption TRI,2011-12-07,1838.2456804589247
Nifty India Consumption TRI,2011-12-08,1810.705533742896
Nifty India Consumption TRI,2011-12-09,1779.1624116388998
Nifty India Consumption TRI,2011-12-12,1741.9292747521752
Nifty India Consumption TRI,2011-12-13,1754.4786186389092
Nifty India Consumption TRI,2011-12-14,1742.5953622653678
Nifty India Consumption TRI,2011-12-15,1735.346872964993
Nifty India Consumption TRI,2011-12-16,1715.5382192665948
Nifty India Consumption TRI,2011-12-19,1705.5628207960635
Nifty India Consumption TRI,2011-12-20,1679.8469151409827
Nifty India Consumption TRI,2011-12-21,1722.1274838658755
Nifty India Consumption TRI,2011-12-22,1731.27049100692
Nifty India Consumption TRI,2011-12-23,1728.0427982141102
Nifty India Consumption TRI,2011-12-26,1752.2073036599015
Nifty India Consumption TRI,2011-12-27,1752.2994757622682
Nifty India Consumption TRI,2011-12-28,1738.4484646592698
Nifty India Consumption TRI,2011-12-29,1721.8098724380377
Nifty India Consumption TRI,2011-12-30,1719.9491421672185
Nifty India Consumption TRI,2012-01-02,1703.5499217660113
Nifty India Consumption TRI,2012-01-03,1729.6407522085185
Nifty India Consumption TRI,2012-01-04,1705.2904471493666
Nifty India Consumption TRI,2012-01-05,1709.6173642861436
Nifty India Consumption TRI,2012-01-06,1703.4890866726405
Nifty India Consumption TRI,2012-01-09,1699.4226254343585
Nifty India Consumption TRI,2012-01-10,1731.0653409144984
Nifty India Consumption TRI,2012-01-11,1731.1265571369033
Nifty India Consumption TRI,2012-01-12,1732.9391243297248
Nifty India Consumption TRI,2012-01-13,1752.950565091479
Nifty India Consumption TRI,2012-01-16,1758.2201536009918
Nifty India Consumption TRI,2012-01-17,1758.2823301078024
Nifty India Consumption TRI,2012-01-18,1779.5263900368445
Nifty India Consumption TRI,2012-01-19,1792.9190394621833
Nifty India Consumption TRI,2012-01-23,1801.4395603535431
Nifty India Consumption TRI,2012-01-25,1828.161510208832
Nifty India Consumption TRI,2012-01-27,1838.9556872743105
Nifty India Consumption TRI,2012-01-30,1810.2449694813615
Nifty India Consumption TRI,2012-01-31,1840.847493707482
Nifty India Consumption TRI,2012-02-01,1859.959413460283
Nifty India Consumption TRI,2012-02-02,1881.2786803393801
Nifty India Consumption TRI,2012-02-03,1900.7662002452719
Nifty India Consumption TRI,2012-02-06,1898.5701994074523
Nifty India Consumption TRI,2012-02-07,1881.8431628722817
Nifty India Consumption TRI,2012-02-08,1881.869372166986
Nifty India Consumption TRI,2012-02-09,1895.8497784995805
Nifty India Consumption TRI,2012-02-10,1888.9042389793117
Nifty India Consumption TRI,2012-02-13,1889.7697349075463
Nifty India Consumption TRI,2012-02-14,1898.502786566301
Nifty India Consumption TRI,2012-02-15,1929.8400902648016
Nifty India Consumption TRI,2012-02-16,1940.5303183813164
Nifty India Consumption TRI,2012-02-17,1939.9337528458075
Nifty India Consumption TRI,2012-02-21,1951.3762490406532
Nifty India Consumption TRI,2012-02-22,1918.1816408085358
Nifty India Consumption TRI,2012-02-23,1907.030162146856
Nifty India Consumption TRI,2012-02-24,1912.2689519338653
Nifty India Consumption TRI,2012-02-27,1870.451517251047
Nifty India Consumption TRI,2012-02-28,1897.537408785197
Nifty India Consumption TRI,2012-02-29,1904.5109169584348
Nifty India Consumption TRI,2012-03-01,1897.5203519658824
