index_name,date,tri
Nifty Infrastructure TRI,2011-06-30,3117.39990234375
Nifty Infrastructure TRI,2011-07-01,3109.901612349028
Nifty Infrastructure TRI,2011-07-04,3122.5079785589583
Nifty Infrastructure TRI,2011-07-05,3097.75580127
Nifty Infrastructure TRI,2011-07-06,3101.4577746069344
Nifty Infrastructure TRI,2011-07-07,3174.9757499285074
Nifty Infrastructure TRI,2011-07-08,3152.4734388978
Nifty Infrastructure TRI,2011-07-11,3123.621944396853
Nifty Infrastructure TRI,2011-07-12,3064.9008620247623
Nifty Infrastructure TRI,2011-07-13,3099.0153973617935
Nifty Infrastructure TRI,2011-07-14,3111.6723969515706
Nifty Infrastructure TRI,2011-07-15,3106.8216449752776
Nifty Infrastructure TRI,2011-07-18,3099.7215556816363
Nifty Infrastructure TRI,2011-07-19,3120.1354392547887
Nifty Infrastructure TRI,2011-07-20,3080.411286686043
Nifty Infrastructure TRI,2011-07-21,3063.6003935879494
Nifty Infrastructure TRI,2011-07-22,3121.792220474563
Nifty Infrastructure TRI,2011-07-25,3183.49806004025
Nifty Infrastructure TRI,2011-07-26,3097.278762359116
Nifty Infrastructure TRI,2011-07-27,3072.407955615935
Nifty Infrastructure TRI,2011-07-28,3043.7319957066743
Nifty Infrastructure TRI,2011-07-29,3032.1203640454232
Nifty Infrastructure TRI,2011-08-01,3064.8512338726464
Nifty Infrastructure TRI,2011-08-02,3028.011637291408
Nifty Infrastructure TRI,2011-08-03,2981.3586943516552
Nifty Infrastructure TRI,2011-08-04,2955.326114583863
Nifty Infrastructure TRI,2011-08-05,2888.293706424984
Nifty Infrastructure TRI,2011-08-08,2844.770944264038
Nifty Infrastructure TRI,2011-08-09,2811.7708447750474
Nifty Infrastructure TRI,2011-08-10,2866.4356995326616
Nifty Infrastructure TRI,2011-08-11,2836.4881368431766
Nifty Infrastructure TRI,2011-08-12,2809.492711733465
Nifty Infrastructure TRI,2011-08-16,2781.4159796862336
Nifty Infrastructure TRI,2011-08-17,2783.409945971143
Nifty Infrastructure TRI,2011-08-18,2754.1538753959176
Nifty Infrastructure TRI,2011-08-19,2687.885553660793
Nifty Infrastructure TRI,2011-08-22,2737.9349664039496
Nifty Infrastructure TRI,2011-08-23,2767.075573681403
Nifty Infrastructure TRI,2011-08-24,2736.1603498768054
Nifty Infrastructure TRI,2011-08-25,2726.6821798881247
Nifty Infrastructure TRI,2011-08-26,2673.7226195147978
Nifty Infrastructure TRI,2011-08-29,2764.662103153349
Nifty Infrastructure TRI,2011-08-30,2785.844420812226
Nifty Infrastructure TRI,2011-09-02,2791.227904053049
Nifty Infrastructure TRI,2011-09-05,2794.1573423286018
Nifty Infrastructure TRI,2011-09-06,2789.037085224021
Nifty Infrastructure TRI,2011-09-07,2851.919412634202
Nifty Infrastructure TRI,2011-09-08,2862.837321105406
Nifty Infrastructure TRI,2011-09-09,2816.723702097137
Nifty Infrastructure TRI,2011-09-12,2749.6873043250166
Nifty Infrastructure TRI,2011-09-13,2741.6069729489955
Nifty Infrastructure TRI,2011-09-14,2733.3760807213785
Nifty Infrastructure TRI,2011-09-15,2745.996824048728
Nifty Infrastructure TRI,2011-09-16,2764.1324172467184
Nifty Infrastructure TRI,2011-09-19,2728.558552514837
Nifty Infrastructure TRI,2011-09-20,2755.72006815055
Nifty Infrastructure TRI,2011-09-21,2765.435978538471
Nifty Infrastructure TRI,2011-09-22,2640.433595593967
Nifty Infrastructure TRI,2011-09-23,2627.3333730015943
Nifty Infrastructure TRI,2011-09-26,2607.834151575279
Nifty Infrastructure TRI,2011-09-27,2670.350521583725
Nifty Infrastructure TRI,2011-09-28,2629.517585103423
