index_name,date,tri
Nifty Metal TRI,2011-07-12,3795.89990234375
Nifty Metal TRI,2011-07-13,3837.5181102867728
Nifty Metal TRI,2011-07-14,3869.3294534370534
Nifty Metal TRI,2011-07-15,3869.539241161099
Nifty Metal TRI,2011-07-18,3832.926579236258
Nifty Metal TRI,2011-07-19,3855.763096789098
Nifty Metal TRI,2011-07-20,3847.048113144804
Nifty Metal TRI,2011-07-21,3826.3065312780786
Nifty Metal TRI,2011-07-22,3826.513986380664
Nifty Metal TRI,2011-07-25,3827.1364191777993
Nifty Metal TRI,2011-07-26,3827.343919275337
Nifty Metal TRI,2011-07-27,3827.551430623137
Nifty Metal TRI,2011-07-28,3883.767478596037
Nifty Metal TRI,2011-07-29,3796.5576686266886
Nifty Metal TRI,2011-08-01,3722.0938595692883
Nifty Metal TRI,2011-08-02,3684.7128598652685
Nifty Metal TRI,2011-08-03,3633.681645992151
Nifty Metal TRI,2011-08-04,3633.7884570390743
Nifty Metal TRI,2011-08-05,3583.1493497306956
Nifty Metal TRI,2011-08-08,3491.337032661321
Nifty Metal TRI,2011-08-09,3269.1589848753433
Nifty Metal TRI,2011-08-10,3269.3362324918194
Nifty Metal TRI,2011-08-11,3323.050447930243
Nifty Metal TRI,2011-08-12,3323.2306174399087
Nifty Metal TRI,2011-08-16,3223.9620303381926
Nifty Metal TRI,2011-08-17,3247.8028467720837
Nifty Metal TRI,2011-08-18,3157.237030678923
Nifty Metal TRI,2011-08-19,3148.209346170944
Nifty Metal TRI,2011-08-22,3148.721443802438
Nifty Metal TRI,2011-08-23,3209.9308969715285
Nifty Metal TRI,2011-08-24,3228.0568925363414
Nifty Metal TRI,2011-08-25,3151.709494664478
Nifty Metal TRI,2011-08-26,3091.4229947682948
Nifty Metal TRI,2011-08-29,2980.3159552905054
Nifty Metal TRI,2011-08-30,3115.525778864678
Nifty Metal TRI,2011-09-02,3235.1579723025384
Nifty Metal TRI,2011-09-05,3331.2588232149396
Nifty Metal TRI,2011-09-06,3364.2689417762736
Nifty Metal TRI,2011-09-07,3434.056009283982
Nifty Metal TRI,2011-09-08,3401.8102951343353
Nifty Metal TRI,2011-09-09,3401.99473485394
Nifty Metal TRI,2011-09-12,3286.709432749872
Nifty Metal TRI,2011-09-13,3171.9358524103995
Nifty Metal TRI,2011-09-14,3179.443051349985
Nifty Metal TRI,2011-09-15,3247.93585585368
Nifty Metal TRI,2011-09-16,3254.4647223983575
Nifty Metal TRI,2011-09-19,3219.622035761356
Nifty Metal TRI,2011-09-20,3281.3194393126646
Nifty Metal TRI,2011-09-21,3274.38015838849
Nifty Metal TRI,2011-09-22,3138.2465932802806
Nifty Metal TRI,2011-09-23,3068.861972936277
Nifty Metal TRI,2011-09-26,2989.8442497457995
Nifty Metal TRI,2011-09-27,3064.8481722113506
Nifty Metal TRI,2011-09-28,3009.198724199146
Nifty Metal TRI,2011-09-29,3018.9629704962554
Nifty Metal TRI,2011-09-30,2934.0884468193326
Nifty Metal TRI,2011-10-03,2817.349487694993
Nifty Metal TRI,2011-10-04,2773.0502562232155
Nifty Metal TRI,2011-10-05,2757.980725272291
Nifty Metal TRI,2011-10-07,2903.2118108478007
Nifty Metal TRI,2011-10-10,2958.0988287566374
Nifty Metal TRI,2011-10-11,2987.553531617477
Nifty Metal TRI,2011-10-12,3052.939938363151
Nifty Metal TRI,2011-10-13,3029.1851077629976
Nifty Metal TRI,2011-10-14,3003.1661962161124
Nifty Metal TRI,2011-10-17,2999.482916446535
Nifty Metal TRI,2011-10-18,2956.768428546956
Nifty Metal TRI,2011-10-19,3004.7847690482413
Nifty Metal TRI,2011-10-20,2988.2072651269173
Nifty Metal TRI,2011-10-21,2948.9540858672935
Nifty Metal TRI,2011-10-24,2959.5907347132334
Nifty Metal TRI,2011-10-25,3021.954396846935
Nifty Metal TRI,2011-10-28,3238.9600288602655
Nifty Metal TRI,2011-10-31,3176.207064455151
Nifty Metal TRI,2011-11-01,3131.6082345932296
Nifty Metal TRI,2011-11-02,3124.2822912198662
Nifty Metal TRI,2011-11-03,3115.546962733506
Nifty Metal TRI,2011-11-04,3165.525474150512
Nifty Metal TRI,2011-11-08,3169.130717559682
Nifty Metal TRI,2011-11-09,3082.791577570885
Nifty Metal TRI,2011-11-11,3009.5406571385597
Nifty Metal TRI,2011-11-14,2942.423670344747
Nifty Metal TRI,2011-11-15,2886.0481650510665
Nifty Metal TRI,2011-11-16,2888.268854298215
Nifty Metal TRI,2011-11-17,2825.842744868912
Nifty Metal TRI,2011-11-18,2788.3333187576327
Nifty Metal TRI,2011-11-21,2691.0400356280447
