index_name,date,tri
Nifty PSE TRI,2011-06-30,3393.75
Nifty PSE TRI,2011-07-01,3424.8814325608805
Nifty PSE TRI,2011-07-04,3440.980428670797
Nifty PSE TRI,2011-07-05,3414.754169558678
Nifty PSE TRI,2011-07-06,3407.8820525154692
Nifty PSE TRI,2011-07-07,3457.7360247142633
Nifty PSE TRI,2011-07-08,3438.659301942333
Nifty PSE TRI,2011-07-11,3428.6987117172116
Nifty PSE TRI,2011-07-12,3405.261419402341
Nifty PSE TRI,2011-07-13,3448.2291338100126
Nifty PSE TRI,2011-07-14,3446.4102681002214
Nifty PSE TRI,2011-07-15,3433.980532729022
Nifty PSE TRI,2011-07-18,3446.2912851420024
Nifty PSE TRI,2011-07-19,3451.730913211519
Nifty PSE TRI,2011-07-20,3422.9250370540985
Nifty PSE TRI,2011-07-21,3405.531348425147
Nifty PSE TRI,2011-07-22,3437.8092152063105
Nifty PSE TRI,2011-07-25,3452.7806265167465
Nifty PSE TRI,2011-07-26,3384.393548735876
Nifty PSE TRI,2011-07-27,3347.003704818715
Nifty PSE TRI,2011-07-28,3326.0400100398056
Nifty PSE TRI,2011-07-29,3300.514487266022
Nifty PSE TRI,2011-08-01,3308.4998043998935
Nifty PSE TRI,2011-08-02,3308.2223653377832
Nifty PSE TRI,2011-08-03,3312.705804354753
Nifty PSE TRI,2011-08-04,3301.0014288471216
Nifty PSE TRI,2011-08-05,3257.01728648921
Nifty PSE TRI,2011-08-08,3248.7542789801673
Nifty PSE TRI,2011-08-09,3234.585206700654
Nifty PSE TRI,2011-08-10,3259.5723964942504
Nifty PSE TRI,2011-08-11,3244.9004434240337
Nifty PSE TRI,2011-08-12,3231.5303251732134
Nifty PSE TRI,2011-08-16,3201.3056530614567
Nifty PSE TRI,2011-08-17,3192.091628842326
Nifty PSE TRI,2011-08-18,3163.0105963092874
Nifty PSE TRI,2011-08-19,3125.5974646142977
Nifty PSE TRI,2011-08-22,3171.7440797286217
Nifty PSE TRI,2011-08-23,3160.115551340812
Nifty PSE TRI,2011-08-24,3150.141239592187
Nifty PSE TRI,2011-08-25,3132.1354654961715
Nifty PSE TRI,2011-08-26,3080.146452823852
Nifty PSE TRI,2011-08-29,3124.2472559109333
Nifty PSE TRI,2011-08-30,3099.857232991191
Nifty PSE TRI,2011-09-02,3102.243579529489
Nifty PSE TRI,2011-09-05,3074.1931619779216
Nifty PSE TRI,2011-09-06,3098.0595593058238
Nifty PSE TRI,2011-09-07,3141.4700614104877
Nifty PSE TRI,2011-09-08,3124.0994346865405
Nifty PSE TRI,2011-09-09,3085.725737918986
Nifty PSE TRI,2011-09-12,3049.9198260133785
Nifty PSE TRI,2011-09-13,3044.5980641118986
Nifty PSE TRI,2011-09-14,3079.029346874431
Nifty PSE TRI,2011-09-15,3108.08725078047
Nifty PSE TRI,2011-09-16,3158.7627421538205
Nifty PSE TRI,2011-09-19,3128.836620421493
Nifty PSE TRI,2011-09-20,3126.1822103096715
Nifty PSE TRI,2011-09-21,3130.7681375170496
Nifty PSE TRI,2011-09-22,3056.407617037974
Nifty PSE TRI,2011-09-23,3037.0519658724506
Nifty PSE TRI,2011-09-26,2999.7934279832975
Nifty PSE TRI,2011-09-27,3056.7868590102607
Nifty PSE TRI,2011-09-28,3066.6018516067966
Nifty PSE TRI,2011-09-29,3097.799290877441
Nifty PSE TRI,2011-09-30,3070.0352300073455
Nifty PSE TRI,2011-10-03,3043.534346713676
Nifty PSE TRI,2011-10-04,3019.3322153250056
Nifty PSE TRI,2011-10-05,2994.422241266564
Nifty PSE TRI,2011-10-07,3048.585641926676
Nifty PSE TRI,2011-10-10,3106.598412648371
Nifty PSE TRI,2011-10-11,3112.1455237257574
Nifty PSE TRI,2011-10-12,3137.8846399902773
Nifty PSE TRI,2011-10-13,3100.682234051069
Nifty PSE TRI,2011-10-14,3088.503353045508
Nifty PSE TRI,2011-10-17,3048.9852203489063
Nifty PSE TRI,2011-10-18,3034.683720447205
Nifty PSE TRI,2011-10-19,3087.3814198977448
Nifty PSE TRI,2011-10-20,3059.125435329494
Nifty PSE TRI,2011-10-21,3046.2829945837098
Nifty PSE TRI,2011-10-24,3070.081964685044
Nifty PSE TRI,2011-10-25,3086.164596171191
Nifty PSE TRI,2011-10-28,3172.180456832185
Nifty PSE TRI,2011-10-31,3120.8433908148363
