index_name,date,tri
Nifty PSU Bank TRI,2011-06-30,3917.449951171875
Nifty PSU Bank TRI,2011-07-01,3931.710313080623
Nifty PSU Bank TRI,2011-07-04,3977.998662226688
Nifty PSU Bank TRI,2011-07-05,4008.9669026518504
Nifty PSU Bank TRI,2011-07-06,3973.1215168548665
Nifty PSU Bank TRI,2011-07-07,4028.99956676278
Nifty PSU Bank TRI,2011-07-08,4019.510509477968
Nifty PSU Bank TRI,2011-07-11,3952.7219179938156
Nifty PSU Bank TRI,2011-07-12,3911.612862767066
Nifty PSU Bank TRI,2011-07-13,3952.9442727077762
Nifty PSU Bank TRI,2011-07-14,4003.784224504871
Nifty PSU Bank TRI,2011-07-15,4005.098038941922
Nifty PSU Bank TRI,2011-07-18,4020.3987579729824
Nifty PSU Bank TRI,2011-07-19,4061.9447794515854
Nifty PSU Bank TRI,2011-07-20,4017.7741796325918
Nifty PSU Bank TRI,2011-07-21,3986.861319060892
Nifty PSU Bank TRI,2011-07-22,4069.8480799623662
Nifty PSU Bank TRI,2011-07-25,4100.92700293234
Nifty PSU Bank TRI,2011-07-26,4004.0414152271646
Nifty PSU Bank TRI,2011-07-27,3929.922974224309
Nifty PSU Bank TRI,2011-07-28,3854.596917947069
Nifty PSU Bank TRI,2011-07-29,3846.844798803055
Nifty PSU Bank TRI,2011-08-01,3837.802852080339
Nifty PSU Bank TRI,2011-08-02,3745.434770611302
Nifty PSU Bank TRI,2011-08-03,3738.177282890462
Nifty PSU Bank TRI,2011-08-04,3709.9892113007877
Nifty PSU Bank TRI,2011-08-05,3673.987576405941
Nifty PSU Bank TRI,2011-08-08,3665.222056986976
Nifty PSU Bank TRI,2011-08-09,3664.1695554411117
Nifty PSU Bank TRI,2011-08-10,3734.0855686376312
Nifty PSU Bank TRI,2011-08-11,3695.2709814820664
Nifty PSU Bank TRI,2011-08-12,3615.381540409085
Nifty PSU Bank TRI,2011-08-16,3572.137181911316
Nifty PSU Bank TRI,2011-08-17,3522.9363375983526
Nifty PSU Bank TRI,2011-08-18,3391.567527532384
Nifty PSU Bank TRI,2011-08-19,3331.0321959857324
Nifty PSU Bank TRI,2011-08-22,3333.9449743950236
Nifty PSU Bank TRI,2011-08-23,3356.179516754259
Nifty PSU Bank TRI,2011-08-24,3270.975063464333
Nifty PSU Bank TRI,2011-08-25,3231.6184563902953
Nifty PSU Bank TRI,2011-08-26,3113.576030040955
Nifty PSU Bank TRI,2011-08-29,3219.2638541319498
Nifty PSU Bank TRI,2011-08-30,3262.9032795764647
Nifty PSU Bank TRI,2011-09-02,3254.6295765767254
Nifty PSU Bank TRI,2011-09-05,3283.3548635935767
Nifty PSU Bank TRI,2011-09-06,3257.917924310785
Nifty PSU Bank TRI,2011-09-07,3348.103707828848
Nifty PSU Bank TRI,2011-09-08,3355.1600521416904
Nifty PSU Bank TRI,2011-09-09,3279.076545978557
Nifty PSU Bank TRI,2011-09-12,3160.6195748729656
Nifty PSU Bank TRI,2011-09-13,3136.173396944919
Nifty PSU Bank TRI,2011-09-14,3138.858954919066
Nifty PSU Bank TRI,2011-09-15,3228.768264360655
Nifty PSU Bank TRI,2011-09-16,3261.854591384469
Nifty PSU Bank TRI,2011-09-19,3216.4024107030928
Nifty PSU Bank TRI,2011-09-20,3304.175836179466
Nifty PSU Bank TRI,2011-09-21,3335.1147659519397
Nifty PSU Bank TRI,2011-09-22,3215.742113016156
Nifty PSU Bank TRI,2011-09-23,3236.946086134904
Nifty PSU Bank TRI,2011-09-26,3248.933506003086
Nifty PSU Bank TRI,2011-09-27,3324.4387466011217
Nifty PSU Bank TRI,2011-09-28,3286.836215163404
Nifty PSU Bank TRI,2011-09-29,3276.1300134560497
Nifty PSU Bank TRI,2011-09-30,3212.324274616834
Nifty PSU Bank TRI,2011-10-03,3141.1906805062927
Nifty PSU Bank TRI,2011-10-04,3048.9077593985085
Nifty PSU Bank TRI,2011-10-05,2974.136394215274
Nifty PSU Bank TRI,2011-10-07,3032.6134052567413
Nifty PSU Bank TRI,2011-10-10,3054.5238480883827
Nifty PSU Bank TRI,2011-10-11,3083.318286552922
Nifty PSU Bank TRI,2011-10-12,3211.887482289801
Nifty PSU Bank TRI,2011-10-13,3229.442682146786
Nifty PSU Bank TRI,2011-10-14,3239.3665454539287
Nifty PSU Bank TRI,2011-10-17,3235.4937812429534
Nifty PSU Bank TRI,2011-10-18,3187.76163186837
Nifty PSU Bank TRI,2011-10-19,3255.999093401004
Nifty PSU Bank TRI,2011-10-20,3259.647835292662
Nifty PSU Bank TRI,2011-10-21,3246.469537491319
Nifty PSU Bank TRI,2011-10-24,3172.817301848023
Nifty PSU Bank TRI,2011-10-25,3090.1525656025874
Nifty PSU Bank TRI,2011-10-28,3216.4449385184216
Nifty PSU Bank TRI,2011-10-31,3247.1397447217573
Nifty PSU Bank TRI,2011-11-01,3268.5294323050366
Nifty PSU Bank TRI,2011-11-02,3270.8235542347593
Nifty PSU Bank TRI,2011-11-03,3317.4450411656785
Nifty PSU Bank TRI,2011-11-04,3346.7810995275536
Nifty PSU Bank TRI,2011-11-08,3359.6927465520585
Nifty PSU Bank TRI,2011-11-09,3217.4153236836514
Nifty PSU Bank TRI,2011-11-11,3153.3774207866622
Nifty PSU Bank TRI,2011-11-14,3101.6228466154166
Nifty PSU Bank TRI,2011-11-15,3044.8802257047882
Nifty PSU Bank TRI,2011-11-16,3059.9889113255435
Nifty PSU Bank TRI,2011-11-17,3016.968224520746
Nifty PSU Bank TRI,2011-11-18,2976.1063198761017
Nifty PSU Bank TRI,2011-11-21,2900.4251220808974
Nifty PSU Bank TRI,2011-11-22,2928.055585927516
Nifty PSU Bank TRI,2011-11-23,2881.3470327592377
Nifty PSU Bank TRI,2011-11-24,2909.9849720765474
Nifty PSU Bank TRI,2011-11-25,2946.7741081518457
Nifty PSU Bank TRI,2011-11-28,3065.3095929958627
Nifty PSU Bank TRI,2011-11-29,3004.5585277472956
Nifty PSU Bank TRI,2011-11-30,2987.1722448983196
Nifty PSU Bank TRI,2011-12-01,3065.9360420211815
Nifty PSU Bank TRI,2011-12-02,3147.574417824923
Nifty PSU Bank TRI,2011-12-05,3181.9777945177716
Nifty PSU Bank TRI,2011-12-07,3203.3242520403055
Nifty PSU Bank TRI,2011-12-08,3110.345774800304
Nifty PSU Bank TRI,2011-12-09,3103.7282225883873
Nifty PSU Bank TRI,2011-12-12,2985.411996435198
Nifty PSU Bank TRI,2011-12-13,2980.852219484589
Nifty PSU Bank TRI,2011-12-14,2972.969475650994
Nifty PSU Bank TRI,2011-12-15,2921.89114282227
Nifty PSU Bank TRI,2011-12-16,2832.6467479203984
Nifty PSU Bank TRI,2011-12-19,2731.5847092689305
Nifty PSU Bank TRI,2011-12-20,2621.3203333107913
Nifty PSU Bank TRI,2011-12-21,2694.241864085998
Nifty PSU Bank TRI,2011-12-22,2757.2991282806643
Nifty PSU Bank TRI,2011-12-23,2709.569523460825
Nifty PSU Bank TRI,2011-12-26,2730.248772612622
Nifty PSU Bank TRI,2011-12-27,2692.3824829991354
Nifty PSU Bank TRI,2011-12-28,2623.1325233881653
Nifty PSU Bank TRI,2011-12-29,2644.194140503189
Nifty PSU Bank TRI,2011-12-30,2631.607732733595
Nifty PSU Bank TRI,2012-01-02,2639.335358521998
Nifty PSU Bank TRI,2012-01-03,2767.4651539675924
Nifty PSU Bank TRI,2012-01-04,2767.42691037456
Nifty PSU Bank TRI,2012-01-05,2771.2682870496037
Nifty PSU Bank TRI,2012-01-06,2754.6018986466565
Nifty PSU Bank TRI,2012-01-09,2742.89419417752
Nifty PSU Bank TRI,2012-01-10,2847.5797103813666
Nifty PSU Bank TRI,2012-01-11,2883.7310881199946
Nifty PSU Bank TRI,2012-01-12,2935.0561813946942
Nifty PSU Bank TRI,2012-01-13,2942.433826442133
Nifty PSU Bank TRI,2012-01-16,2966.1333248273086
Nifty PSU Bank TRI,2012-01-17,3030.9823580636107
Nifty PSU Bank TRI,2012-01-18,3020.317492696373
Nifty PSU Bank TRI,2012-01-19,3050.1857325963124
Nifty PSU Bank TRI,2012-01-20,3148.9769966077256
Nifty PSU Bank TRI,2012-01-23,3170.48982237188
Nifty PSU Bank TRI,2012-01-24,3331.3257340253913
Nifty PSU Bank TRI,2012-01-25,3337.5128658678213
Nifty PSU Bank TRI,2012-01-27,3306.9207932632457
Nifty PSU Bank TRI,2012-01-30,3224.85897180027
Nifty PSU Bank TRI,2012-01-31,3315.8328984893537
Nifty PSU Bank TRI,2012-02-01,3344.064457787103
Nifty PSU Bank TRI,2012-02-02,3356.1561569805212
Nifty PSU Bank TRI,2012-02-03,3395.439093587338
Nifty PSU Bank TRI,2012-02-06,3485.054445774072
Nifty PSU Bank TRI,2012-02-07,3486.5083760506127
Nifty PSU Bank TRI,2012-02-08,3538.2169729032703
Nifty PSU Bank TRI,2012-02-09,3569.696064480584
Nifty PSU Bank TRI,2012-02-10,3570.3966951290604
Nifty PSU Bank TRI,2012-02-13,3537.121328223859
Nifty PSU Bank TRI,2012-02-14,3632.4499451296706
Nifty PSU Bank TRI,2012-02-15,3725.212258946774
Nifty PSU Bank TRI,2012-02-16,3803.647837038926
Nifty PSU Bank TRI,2012-02-17,3878.909724944666
Nifty PSU Bank TRI,2012-02-21,3924.7753432787213
Nifty PSU Bank TRI,2012-02-22,3650.2443296308466
Nifty PSU Bank TRI,2012-02-23,3633.7322723204848
Nifty PSU Bank TRI,2012-02-24,3562.7912846944423
Nifty PSU Bank TRI,2012-02-27,3389.8754606599887
Nifty PSU Bank TRI,2012-02-28,3583.3188524122443
Nifty PSU Bank TRI,2012-02-29,3599.3218054580107
Nifty PSU Bank TRI,2012-03-01,3570.429965395777
Nifty PSU Bank TRI,2012-03-02,3605.8776891479733
Nifty PSU Bank TRI,2012-03-05,3517.8757183828743
Nifty PSU Bank TRI,2012-03-06,3473.4167520803308
Nifty PSU Bank TRI,2012-03-07,3468.456357711892
Nifty PSU Bank TRI,2012-03-09,3596.348456610638
Nifty PSU Bank TRI,2012-03-12,3692.9365385369933
Nifty PSU Bank TRI,2012-03-13,3709.3059029069527
Nifty PSU Bank TRI,2012-03-14,3791.768418746657
Nifty PSU Bank TRI,2012-03-15,3684.797954756664
Nifty PSU Bank TRI,2012-03-16,3565.8424066949333
Nifty PSU Bank TRI,2012-03-19,3453.8799982477735
Nifty PSU Bank TRI,2012-03-20,3508.2005675810433
Nifty PSU Bank TRI,2012-03-21,3585.8767873603815
Nifty PSU Bank TRI,2012-03-22,3458.5481321550737
Nifty PSU Bank TRI,2012-03-23,3490.1295445786536
Nifty PSU Bank TRI,2012-03-26,3399.2063939538857
Nifty PSU Bank TRI,2012-03-27,3428.5155213028174
Nifty PSU Bank TRI,2012-03-28,3362.020401267522
Nifty PSU Bank TRI,2012-03-29,3338.7484905640695
Nifty PSU Bank TRI,2012-03-30,3423.12023283501
Nifty PSU Bank TRI,2012-04-02,3455.8010010757844
Nifty PSU Bank TRI,2012-04-03,3498.4711446681076
Nifty PSU Bank TRI,2012-04-04,3494.9724804243137
Nifty PSU Bank TRI,2012-04-09,3411.060963587738
Nifty PSU Bank TRI,2012-04-10,3454.297649663966
Nifty PSU Bank TRI,2012-04-11,3452.667938207897
Nifty PSU Bank TRI,2012-04-12,3535.82426439692
Nifty PSU Bank TRI,2012-04-13,3500.808039308276
Nifty PSU Bank TRI,2012-04-16,3570.6042033045874
Nifty PSU Bank TRI,2012-04-17,3605.4098586931414
Nifty PSU Bank TRI,2012-04-18,3581.976826841535
Nifty PSU Bank TRI,2012-04-19,3546.953882639432
Nifty PSU Bank TRI,2012-04-20,3518.6080202713088
Nifty PSU Bank TRI,2012-04-23,3426.824863814376
Nifty PSU Bank TRI,2012-04-24,3433.139454681173
Nifty PSU Bank TRI,2012-04-25,3394.204371822874
Nifty PSU Bank TRI,2012-04-26,3353.19099908769
Nifty PSU Bank TRI,2012-04-27,3305.1886622016495
Nifty PSU Bank TRI,2012-04-30,3354.9020733939055
Nifty PSU Bank TRI,2012-05-02,3361.5043000028454
Nifty PSU Bank TRI,2012-05-03,3274.2509560213207
Nifty PSU Bank TRI,2012-05-04,3151.850707208653
Nifty PSU Bank TRI,2012-05-07,3177.100435635649
Nifty PSU Bank TRI,2012-05-08,3082.3268407238165
Nifty PSU Bank TRI,2012-05-09,2973.8716098242285
Nifty PSU Bank TRI,2012-05-10,2943.0479863117325
Nifty PSU Bank TRI,2012-05-11,2951.8795480726017
Nifty PSU Bank TRI,2012-05-14,2906.854147969015
Nifty PSU Bank TRI,2012-05-15,2935.897539765798
Nifty PSU Bank TRI,2012-05-16,2882.2684550748554
Nifty PSU Bank TRI,2012-05-17,2900.6237653296457
Nifty PSU Bank TRI,2012-05-18,2979.5224604555233
Nifty PSU Bank TRI,2012-05-21,3053.4074206726395
Nifty PSU Bank TRI,2012-05-22,2988.014223283371
Nifty PSU Bank TRI,2012-05-23,2981.852623205915
Nifty PSU Bank TRI,2012-05-24,3020.892524955102
Nifty PSU Bank TRI,2012-05-25,3054.8174123664526
Nifty PSU Bank TRI,2012-05-28,3165.477974875588
