index_name,date,tri
Nifty Private Bank TRI,2016-03-14,8581.400390625
Nifty Private Bank TRI,2016-03-15,8596.417189204534
Nifty Private Bank TRI,2016-03-16,8690.78714935436
Nifty Private Bank TRI,2016-03-17,8694.905987983631
Nifty Private Bank TRI,2016-03-18,8804.230879044699
Nifty Private Bank TRI,2016-03-21,8939.904293639862
Nifty Private Bank TRI,2016-03-22,8933.876284289569
Nifty Private Bank TRI,2016-03-23,8916.095687841707
Nifty Private Bank TRI,2016-03-28,8768.576536913239
Nifty Private Bank TRI,2016-03-29,8800.952880262685
Nifty Private Bank TRI,2016-03-30,9070.381892155134
Nifty Private Bank TRI,2016-03-31,9088.859619876835
Nifty Private Bank TRI,2016-04-01,9102.637476617596
Nifty Private Bank TRI,2016-04-04,9124.215676412452
Nifty Private Bank TRI,2016-04-05,8853.008770430553
Nifty Private Bank TRI,2016-04-06,8810.5664900375
Nifty Private Bank TRI,2016-04-07,8752.117804440028
Nifty Private Bank TRI,2016-04-08,8767.342081627512
Nifty Private Bank TRI,2016-04-11,8893.149592836568
Nifty Private Bank TRI,2016-04-12,8955.145137528298
Nifty Private Bank TRI,2016-04-13,9190.113608218617
Nifty Private Bank TRI,2016-04-18,9183.088020462392
Nifty Private Bank TRI,2016-04-20,9245.120023147909
Nifty Private Bank TRI,2016-04-21,9405.37914281907
Nifty Private Bank TRI,2016-04-22,9412.66177509097
Nifty Private Bank TRI,2016-04-25,9421.701752820924
Nifty Private Bank TRI,2016-04-26,9603.887470998474
Nifty Private Bank TRI,2016-04-27,9525.921901206837
Nifty Private Bank TRI,2016-04-28,9453.056944301228
Nifty Private Bank TRI,2016-04-29,9511.472628494039
Nifty Private Bank TRI,2016-05-02,9375.471244385722
Nifty Private Bank TRI,2016-05-03,9281.735399624618
Nifty Private Bank TRI,2016-05-04,9220.069125486405
Nifty Private Bank TRI,2016-05-05,9213.790090773424
Nifty Private Bank TRI,2016-05-06,9219.970091920048
Nifty Private Bank TRI,2016-05-09,9441.316511967649
Nifty Private Bank TRI,2016-05-10,9503.294337583471
Nifty Private Bank TRI,2016-05-11,9525.441538192446
Nifty Private Bank TRI,2016-05-12,9610.640118503328
Nifty Private Bank TRI,2016-05-13,9499.980423971643
Nifty Private Bank TRI,2016-05-16,9557.368811928161
Nifty Private Bank TRI,2016-05-17,9591.478221004203
Nifty Private Bank TRI,2016-05-18,9564.685894757647
Nifty Private Bank TRI,2016-05-19,9499.357144206204
Nifty Private Bank TRI,2016-05-20,9450.592538112613
Nifty Private Bank TRI,2016-05-23,9433.41310579567
Nifty Private Bank TRI,2016-05-24,9461.919029375646
Nifty Private Bank TRI,2016-05-25,9768.549624448853
Nifty Private Bank TRI,2016-05-26,9969.282293231085
Nifty Private Bank TRI,2016-05-27,10006.906483288114
Nifty Private Bank TRI,2016-05-30,10006.966451781751
Nifty Private Bank TRI,2016-05-31,10028.675868926754
Nifty Private Bank TRI,2016-06-01,9940.567278145887
Nifty Private Bank TRI,2016-06-02,10029.75043758283
Nifty Private Bank TRI,2016-06-03,10146.466464462674
Nifty Private Bank TRI,2016-06-06,10125.657600802797
Nifty Private Bank TRI,2016-06-07,10260.052194210439
Nifty Private Bank TRI,2016-06-08,10268.201697919661
Nifty Private Bank TRI,2016-06-09,10230.245900306976
Nifty Private Bank TRI,2016-06-10,10208.108843902877
Nifty Private Bank TRI,2016-06-13,10072.80868604203
Nifty Private Bank TRI,2016-06-14,10082.15799317393
Nifty Private Bank TRI,2016-06-15,10188.68068304574
Nifty Private Bank TRI,2016-06-16,10008.638487168775
Nifty Private Bank TRI,2016-06-17,10030.153458223002
Nifty Private Bank TRI,2016-06-20,10026.257815796327
Nifty Private Bank TRI,2016-06-21,9972.12218871442
Nifty Private Bank TRI,2016-06-22,9979.768608767003
Nifty Private Bank TRI,2016-06-23,10118.645905073157
Nifty Private Bank TRI,2016-06-24,9848.307026759798
Nifty Private Bank TRI,2016-06-27,9876.500291403005
Nifty Private Bank TRI,2016-06-28,9902.222948749117
Nifty Private Bank TRI,2016-06-29,9992.53963862195
Nifty Private Bank TRI,2016-06-30,10156.567024126642
Nifty Private Bank TRI,2016-07-01,10193.861562427765
Nifty Private Bank TRI,2016-07-04,10249.212726177935
Nifty Private Bank TRI,2016-07-05,10189.51041432488
Nifty Private Bank TRI,2016-07-07,10235.81110609996
Nifty Private Bank TRI,2016-07-08,10214.266166584717
Nifty Private Bank TRI,2016-07-11,10392.423386571587
Nifty Private Bank TRI,2016-07-12,10588.336023515352
Nifty Private Bank TRI,2016-07-13,10553.573371738961
Nifty Private Bank TRI,2016-07-14,10687.94090364266
Nifty Private Bank TRI,2016-07-15,10718.137279837752
Nifty Private Bank TRI,2016-07-18,10722.633140539116
Nifty Private Bank TRI,2016-07-19,10717.870664371301
Nifty Private Bank TRI,2016-07-20,10737.551132486942
Nifty Private Bank TRI,2016-07-21,10571.605635612055
Nifty Private Bank TRI,2016-07-22,10601.101856378169
Nifty Private Bank TRI,2016-07-25,10745.497555288415
Nifty Private Bank TRI,2016-07-26,10676.61770837105
Nifty Private Bank TRI,2016-07-27,10780.204011312695
Nifty Private Bank TRI,2016-07-28,10804.496602272868
Nifty Private Bank TRI,2016-07-29,10736.216443777981
Nifty Private Bank TRI,2016-08-01,10603.90272133979
Nifty Private Bank TRI,2016-08-02,10560.162324718101
Nifty Private Bank TRI,2016-08-03,10500.440556773687
Nifty Private Bank TRI,2016-08-04,10469.974425651504
Nifty Private Bank TRI,2016-08-05,10676.07177893529
Nifty Private Bank TRI,2016-08-08,10688.182937814267
Nifty Private Bank TRI,2016-08-09,10676.455306299888
Nifty Private Bank TRI,2016-08-10,10519.431054228688
Nifty Private Bank TRI,2016-08-11,10564.917478839143
Nifty Private Bank TRI,2016-08-12,10694.178285809048
Nifty Private Bank TRI,2016-08-16,10711.196584917318
Nifty Private Bank TRI,2016-08-17,10721.815328924702
Nifty Private Bank TRI,2016-08-18,10915.375946236712
Nifty Private Bank TRI,2016-08-19,10903.95024784973
Nifty Private Bank TRI,2016-08-22,10860.50073851406
Nifty Private Bank TRI,2016-08-23,10860.498317555643
Nifty Private Bank TRI,2016-08-24,10854.883807703683
Nifty Private Bank TRI,2016-08-25,10849.169309797137
Nifty Private Bank TRI,2016-08-26,10798.803382072581
Nifty Private Bank TRI,2016-08-29,10822.95047721556
Nifty Private Bank TRI,2016-08-30,10981.161831717422
Nifty Private Bank TRI,2016-08-31,11135.269346702184
Nifty Private Bank TRI,2016-09-01,11155.768662170218
