index_name,date,tri
Nifty Services Sector TRI,2011-06-30,6884.2998046875
Nifty Services Sector TRI,2011-07-01,6899.975340180187
Nifty Services Sector TRI,2011-07-04,6947.907577765761
Nifty Services Sector TRI,2011-07-05,6956.836106844513
Nifty Services Sector TRI,2011-07-06,6933.658334985281
Nifty Services Sector TRI,2011-07-07,7039.609144836366
Nifty Services Sector TRI,2011-07-08,6964.019441274176
Nifty Services Sector TRI,2011-07-11,6873.368683015255
Nifty Services Sector TRI,2011-07-12,6751.795437968865
Nifty Services Sector TRI,2011-07-13,6810.790894411751
Nifty Services Sector TRI,2011-07-14,6828.621475891952
Nifty Services Sector TRI,2011-07-15,6810.835673077921
Nifty Services Sector TRI,2011-07-18,6806.850367186637
Nifty Services Sector TRI,2011-07-19,6868.861001989209
Nifty Services Sector TRI,2011-07-20,6796.83796342859
Nifty Services Sector TRI,2011-07-21,6763.337115303715
Nifty Services Sector TRI,2011-07-22,6897.904492325316
Nifty Services Sector TRI,2011-07-25,6960.630995693993
Nifty Services Sector TRI,2011-07-26,6840.756385945524
Nifty Services Sector TRI,2011-07-27,6815.406966711683
Nifty Services Sector TRI,2011-07-28,6712.835889396421
Nifty Services Sector TRI,2011-07-29,6739.880323941522
Nifty Services Sector TRI,2011-08-01,6787.039467115911
Nifty Services Sector TRI,2011-08-02,6679.744924043396
Nifty Services Sector TRI,2011-08-03,6621.398084911098
Nifty Services Sector TRI,2011-08-04,6563.998709590896
Nifty Services Sector TRI,2011-08-05,6403.323840950343
Nifty Services Sector TRI,2011-08-08,6255.0620187485465
Nifty Services Sector TRI,2011-08-09,6177.1643423845435
Nifty Services Sector TRI,2011-08-10,6313.247614767944
Nifty Services Sector TRI,2011-08-11,6277.955434807943
Nifty Services Sector TRI,2011-08-12,6160.795569961832
Nifty Services Sector TRI,2011-08-16,6107.868119686726
Nifty Services Sector TRI,2011-08-17,6127.2475432147585
Nifty Services Sector TRI,2011-08-18,5933.688126753768
Nifty Services Sector TRI,2011-08-19,5804.470573305121
Nifty Services Sector TRI,2011-08-22,5819.714581573978
Nifty Services Sector TRI,2011-08-23,5907.2083813185
Nifty Services Sector TRI,2011-08-24,5832.516917379931
Nifty Services Sector TRI,2011-08-25,5739.838003411512
Nifty Services Sector TRI,2011-08-26,5649.356835281214
Nifty Services Sector TRI,2011-08-29,5874.90060909407
Nifty Services Sector TRI,2011-08-30,5984.009439772633
Nifty Services Sector TRI,2011-09-02,5986.249111952158
Nifty Services Sector TRI,2011-09-05,5957.421259296463
Nifty Services Sector TRI,2011-09-06,5984.575531499429
Nifty Services Sector TRI,2011-09-07,6072.568705219333
Nifty Services Sector TRI,2011-09-08,6098.175147279035
Nifty Services Sector TRI,2011-09-09,5986.01397576492
Nifty Services Sector TRI,2011-09-12,5821.001055274199
Nifty Services Sector TRI,2011-09-13,5811.617450283453
Nifty Services Sector TRI,2011-09-14,5910.351835908733
Nifty Services Sector TRI,2011-09-15,6024.430502758287
Nifty Services Sector TRI,2011-09-16,6043.675717535118
Nifty Services Sector TRI,2011-09-19,5981.602328083698
Nifty Services Sector TRI,2011-09-20,6133.453274031219
Nifty Services Sector TRI,2011-09-21,6159.022554278144
Nifty Services Sector TRI,2011-09-22,5902.620819803927
Nifty Services Sector TRI,2011-09-23,5844.000165140387
